instance,added_at,updated_at,checked_at,uptime,up,dead,version,ipv6,https_score,https_rank,obs_score,obs_rank,users,statuses,connections,open_registrations,topic
greenplenty.social,2022-11-21T07:26:32.159Z,2024-10-30T12:31:22.771Z,2024-10-30T12:31:22.771Z,1,true,false,3.5.9,false,5,"F ",60,C+,4,4709,11882,true,Green Plenty
socl.bz,2022-11-21T07:26:32.816Z,2024-10-30T12:36:11.956Z,2024-10-30T12:36:11.956Z,1,true,false,4.3.1,false,0,,80,B+,3,1877,9785,true,Socl.bz
mastodon.orko.it,2022-11-21T07:26:34.769Z,2024-10-30T12:30:11.761Z,2024-10-30T12:30:11.761Z,1,true,false,3.4.3,false,100,A+,125,A+,3,9017,11480,true,Mastodon
social.fifteen40.com,2022-11-21T07:26:35.959Z,2024-10-30T12:35:16.236Z,2024-10-30T12:35:16.236Z,1,true,false,4.3.1,true,0,,80,B+,8,2181,6890,true,"Fifteen40 "
soc.kvet.ch,2022-11-21T07:26:40.479Z,2024-10-30T13:15:13.865Z,2024-10-30T13:15:13.865Z,1,true,false,4.3.1,true,0,,80,B+,5,4562,16931,true,KVET.CH ephemeral industries
podvibes.co,2022-11-21T07:26:48.523Z,2024-10-30T12:30:07.339Z,2024-10-30T12:30:07.339Z,1,true,false,4.3.1,false,0,,80,B+,337,27713,20010,true,PodVibes
nbaden.club,2022-11-21T07:26:50.687Z,2024-10-30T13:15:17.395Z,2024-10-30T13:15:17.395Z,1,true,false,3.5.3,false,5,"F ",125,A+,110,157,1760,true,NBA Mastodon Community
fault.stsecurity.moe,2022-11-21T07:26:51.879Z,2024-10-30T12:31:34.876Z,2024-10-30T12:31:34.876Z,1,true,false,4.1.2,false,5,"F ",80,B+,122,548,3287,true,魔法使联盟-fault中文社区
mastodon.cube4fun.net,2022-11-21T07:27:00.830Z,2024-10-30T12:30:35.883Z,2024-10-30T12:30:35.883Z,1,true,false,,false,10,"E ",80,B+,3,31,1979,true,Cube4Fun
hermit.cafe,2022-11-21T07:27:01.659Z,2024-10-30T13:05:07.093Z,2024-10-30T13:05:07.093Z,1,true,false,,true,10,"E ",80,B+,2,13633,13480,true,hermit.cafe
justweb.dev,2022-11-21T07:27:06.204Z,2024-10-30T12:30:44.862Z,2024-10-30T12:30:44.862Z,1,true,false,3.5.3,false,5,"F ",130,A+,1,246,6441,true,Just Web
social.jugendarbe.it,2022-11-21T07:27:09.348Z,2024-10-30T13:10:08.488Z,2024-10-30T13:10:08.488Z,1,true,false,4.3.1,false,100,A+,125,A+,28,258,1055,true,social.JUGENDARBE.IT
red.colegiocontempora.com,2022-11-21T07:27:13.888Z,2024-10-30T12:31:14.541Z,2024-10-30T12:31:14.541Z,1,true,false,,false,10,"E ",35,"D ",0,0,0,true,Red Contémpora
neverwhe.re,2022-11-21T07:27:16.325Z,2024-10-30T12:45:06.328Z,2024-10-30T12:45:06.328Z,1,true,false,4.2.7,false,10,"E ",125,A+,2,1615,6494,true,Mastodon
taur.zone,2022-11-21T07:27:22.664Z,2024-10-30T12:20:03.409Z,2024-10-30T12:20:03.409Z,1,true,false,4.3.1,false,0,,80,B+,39,5974,11171,true,Taurs Taurs Taurs
foxsay.southfox.me,2022-11-21T07:27:27.586Z,2024-10-30T12:31:35.319Z,2024-10-30T12:31:35.319Z,1,true,false,,true,10,"E ",130,A+,25,4875,16130,true,Foxsay
truthsocialpro.org,2022-11-21T07:27:47.787Z,2024-10-30T12:50:08.042Z,2024-10-30T12:50:08.042Z,1,true,false,4.3.1,false,0,,80,B+,5,38,498,true,Truth Social Mastodon
cartbefore.horse,2022-11-21T07:27:48.009Z,2024-10-30T12:30:42.344Z,2024-10-30T12:30:42.344Z,1,true,false,,false,100,A+,125,A+,5,31,6356,true,Cartbefore.horse
popon.pptdn.jp,2022-11-21T07:27:52.849Z,2024-10-30T12:31:07.571Z,2024-10-30T12:31:07.571Z,1,true,false,4.2.0,true,5,"F ",125,A+,13,102622,12098,true,popon server
nitiasa.com,2022-11-21T07:28:02.062Z,2024-10-30T12:30:18.735Z,2024-10-30T12:30:18.735Z,1,true,false,,true,5,"F ",80,B+,53,13529,8287,true,ニチアサドン (#nitiasa)
mastodon.wssmagazine.com,2022-11-21T07:28:05.395Z,2024-10-30T13:05:07.199Z,2024-10-30T13:05:07.199Z,1,true,false,4.3.1,true,0,,80,B+,137,6665,14284,true,mastodon.wssmagazine.com
blog.troch.org,2022-11-21T07:28:05.487Z,2024-10-30T12:36:43.799Z,2024-10-30T12:36:43.799Z,1,true,false,4.3.0,false,100,A+,125,A+,1,32,8,true,Troch
lakedistrict.social,2022-11-21T07:28:09.401Z,2024-10-30T12:36:29.573Z,2024-10-30T12:36:29.573Z,1,true,false,4.3.1,false,10,"E ",125,A+,3,185,10973,true,Lake District Social
toot.coupou.fr,2022-11-21T07:28:13.573Z,2024-10-30T12:35:43.219Z,2024-10-30T12:35:43.219Z,1,true,false,4.3.0,false,5,"F ",125,A+,2,382,16800,true,Toot.coupou.fr
faithcollapsing.com,2022-11-21T07:28:17.206Z,2024-10-30T12:31:32.601Z,2024-10-30T12:31:32.601Z,1,true,false,4.3.1,false,100,A+,125,A+,9,14874,16151,true,Faith Collapsing
blahaj.finch.ink,2022-11-21T07:28:23.988Z,2024-10-30T12:36:41.972Z,2024-10-30T12:36:41.972Z,1,true,false,,false,100,A+,125,A+,5,336,8186,true,Blåhaj
friendica.poppelreuter.de,2022-11-21T07:28:33.369Z,2024-10-30T12:30:34.531Z,2024-10-30T12:30:34.531Z,1,true,false,,true,0,,75,"B ",1,3,5308,true,meinem kleinen Friendica Knoten
techfieldday.net,2022-11-21T07:28:34.886Z,2024-10-30T12:35:08.228Z,2024-10-30T12:35:08.228Z,1,true,false,,true,5,F,80,B+,51,11576,15623,true,Tech Field Day
nonsocialand.space,2022-11-21T07:28:37.339Z,2024-10-30T12:31:00.625Z,2024-10-30T12:31:00.625Z,1,false,false,,false,5,"F ",80,B+,10,405,11137,true,nonsocialand
cooler.mom,2022-11-21T07:29:04.808Z,2024-10-30T12:30:04.801Z,2024-10-30T12:30:04.801Z,1,true,false,,false,100,A+,120,A+,32,8080,21937,true,cooler.mom
social.doma.dev,2022-11-21T07:29:08.870Z,2024-10-30T12:36:41.364Z,2024-10-30T12:36:41.364Z,1,true,false,3.1.3,false,5,"F ",110,A+,15,7184,14437,true,Doma Social
social.ancow.name,2022-11-21T07:29:20.083Z,2024-10-30T12:31:33.105Z,2024-10-30T12:31:33.105Z,1,true,false,4.3.1,false,10,"E ",120,A+,3,55,6657,true,Mastodon (ancow)
say.berk.es,2022-11-21T07:29:21.037Z,2024-10-30T12:36:23.867Z,2024-10-30T12:36:23.867Z,1,false,false,,true,10,"E ",30,"D ",1,554,719,true,berkes' presence on the fediverse
social.roteserver.de,2022-11-21T07:29:31.707Z,2024-10-30T12:36:53.725Z,2024-10-30T12:36:53.725Z,1,true,false,4.1.2,false,5,"F ",80,B+,8,80,3482,true,RoteServer Mastodon
mato.social,2022-11-21T07:29:45.828Z,2024-10-30T13:15:09.810Z,2024-10-30T13:15:09.810Z,1,true,false,4.3.1,true,100,A+,125,A+,13,3230,15918,true,Mato
social.qownnotes.org,2022-11-21T07:29:47.217Z,2024-10-30T12:35:27.860Z,2024-10-30T12:35:27.860Z,1,true,false,4.3.1,true,5,"F ",125,A+,2,425,7221,true,QOwnNotes Mastodon
arasaka.vip,2022-11-21T07:29:59.000Z,2024-10-30T12:36:34.910Z,2024-10-30T12:36:34.910Z,1,false,false,,false,0,,80,B+,9,509,4641,true,Arasaka
techopolis.social,2022-11-21T07:30:03.087Z,2024-10-30T13:15:07.263Z,2024-10-30T13:15:07.263Z,1,true,false,4.3.1,false,5,"F ",80,B+,9,3871,12306,true,Techopolis Social
mastodon.redgarterclub.com,2022-11-21T07:30:08.130Z,2024-10-30T13:10:09.029Z,2024-10-30T13:10:09.029Z,1,true,false,4.3.1,true,0,,80,B+,5,35546,18886,true,AnthonyJK's Personal Mastodon Page
intotheriff.com,2022-11-21T07:30:12.158Z,2024-10-30T12:30:20.717Z,2024-10-30T12:30:20.717Z,1,true,false,4.3.1,false,0,,80,B+,5,14,2001,true,Into the Riff
xxx.azyobuzi.net,2022-11-21T07:30:15.743Z,2024-10-30T12:32:09.142Z,2024-10-30T12:32:09.142Z,1,true,false,,true,10,"E ",60,C+,161,16537,11087,true,ご隠居
awes.one,2022-11-21T07:30:18.471Z,2024-10-30T12:35:21.252Z,2024-10-30T12:35:21.252Z,1,true,false,,true,10,"E ",125,A+,1,233,2233,true,awes.one - Mastodon
pioupiou.social,2022-11-21T07:30:20.451Z,2024-10-30T13:10:04.916Z,2024-10-30T13:10:04.916Z,1,true,false,,false,5,"F ",30,"D ",1,6,103,true,pioupiou.social
p.testitfor.me,2022-11-21T07:30:21.284Z,2024-10-30T12:30:39.282Z,2024-10-30T12:30:39.282Z,1,true,false,,true,5,"F ",110,A+,2,61,4373,true,Pleroma (at) testitfor.me
pleroma.dragast.me,2022-11-21T07:30:23.526Z,2024-10-30T12:36:46.631Z,2024-10-30T12:36:46.631Z,1,false,false,,false,10,"E ",80,B+,93,31,1739,true,pleroma.dragast.me
social.feathers.link,2022-11-21T07:30:24.064Z,2024-10-30T12:36:24.323Z,2024-10-30T12:36:24.323Z,1,true,false,,false,10,"E ",80,B+,52,0,2253,true,Feathers Link
social.fast-break.de,2022-11-21T07:30:28.420Z,2024-10-30T12:35:23.784Z,2024-10-30T12:35:23.784Z,1,true,false,4.3.1,false,10,"E ",80,B+,27,39814,445,true,Mastodon
pl.firechicken.net,2022-11-21T07:30:29.242Z,2024-10-30T12:55:03.953Z,2024-10-30T12:55:03.953Z,1,true,false,,false,10,"E ",80,B+,19,666,8720,true,Fedichicken
f.reun.de,2022-11-21T07:30:44.587Z,2024-10-30T12:30:30.233Z,2024-10-30T12:30:30.233Z,1,true,false,4.3.1,true,10,"E ",30,"D ",7,697,11415,true,f.reun.de
hameln.social,2022-11-21T07:30:44.705Z,2024-10-30T12:36:31.333Z,2024-10-30T12:36:31.333Z,1,true,false,4.3.1,true,5,"F ",80,B+,61,9120,9897,true,Mastodon
nya.house,2022-11-21T07:30:45.762Z,2024-10-30T12:30:46.591Z,2024-10-30T12:30:46.591Z,1,false,false,,false,5,"F ",80,B+,33,857,16084,true,Nya House
mastodon.siteop.biz,2022-11-21T07:30:46.619Z,2024-10-30T12:31:24.812Z,2024-10-30T12:31:24.812Z,1,true,false,,false,100,A+,125,A+,2,134,9247,true,Mastodon
flumph.masto.host,2022-11-21T07:30:46.721Z,2024-10-30T12:35:04.379Z,2024-10-30T12:35:04.379Z,1,true,false,4.3.1,true,0,,80,B+,7,11863,13622,true,Mastodon
social.inter-mundos.de,2022-11-21T07:30:52.751Z,2024-10-30T12:45:06.717Z,2024-10-30T12:45:06.717Z,1,true,false,,true,100,A+,80,B+,3,68,5266,true,Inter-Mundos-Social
mastodon.quantumindigo.org,2022-11-21T07:30:53.399Z,2024-10-30T12:30:11.148Z,2024-10-30T12:30:11.148Z,1,true,false,4.1.2,false,5,"F ",80,B+,14,2138,10059,true,QI Quantum Indigo Mastodon Server
pixelfed.sdf.org,2022-11-21T07:30:56.531Z,2024-10-30T12:30:09.307Z,2024-10-30T12:30:09.307Z,1,true,false,,false,10,"E ",35,"D ",747,232518,5302,true,SDF Pixelfed
gochisou.dev,2022-11-21T07:30:57.489Z,2024-10-30T12:35:59.940Z,2024-10-30T12:35:59.940Z,1,true,false,4.3.1,true,100,A+,130,A+,46,4035,6062,true,ごちそうデブ
